"Timestamp","What is your age range?","How often do you travel per year?","Would you like to choose the guide yourself by seeing the ratings, or would you like the best one to be assigned based on our recommendation?","Your preferred method of payment:","Would you like to have the option to join in a pre planned tour with other site users?","Would you like to have the option to buy tour gears from our website?","Would you like to have a credit option that gives you discounts the more you use our site?","How important is security during the trip to you?","Would you like to have the option to use GPS during your trip to ensure precise security enforcements if required?","Would you like there to be a blog for place reviews?","Would you like to have the option to see if the writer of the blog is available to guide you on your desired date?","Please add any other suggestion that you may have"
"2021/08/20 11:03:53 PM GMT+6","18-25","1","Both","Direct online payment","Maybe","Maybe","Yes","5","Yes","Yes","Yes",""
"2021/08/20 11:11:25 PM GMT+6","18-25","1","Both","Option 3","No","Maybe","Yes","5","Yes","Doesn't matter","Yes","I don't have"
"2021/08/20 11:14:17 PM GMT+6","18-25","1","Both","Paying to the guide","Yes","Yes","Maybe","5","Yes","Yes","Yes",""
"2021/08/20 11:19:11 PM GMT+6","18-25","1","Both","Paying to the guide","Maybe","Maybe","Maybe","1","Yes","Yes","Yes",""
"2021/08/20 11:25:38 PM GMT+6","18-25","2","Both","Paying to the guide","Maybe","No","Maybe","5","Yes","Doesn't matter","Yes",""
"2021/08/20 11:28:18 PM GMT+6","18-25","","Both","Direct online payment","No","No","No","","Yes","Doesn't matter","No",""
"2021/08/20 11:29:23 PM GMT+6","18-25","1","Own choice","Paying to the guide","Maybe","Maybe","Yes","5","Yes","Yes","No",""
"2021/08/20 11:32:31 PM GMT+6","18-25","2","Both","Direct online payment","Maybe","Maybe","Yes","5","Yes","Yes","Yes",""
"2021/08/20 11:34:07 PM GMT+6","18-25","1","Own choice","Option 3","No","No","No","5","Yes","No","No",""
"2021/08/20 11:39:34 PM GMT+6","18-25","1","Both","Paying to the guide","Maybe","Maybe","No","5","Yes","Doesn't matter","Yes",""
"2021/08/20 11:41:28 PM GMT+6","18-25","1","Own choice","Paying to the guide","Yes","Maybe","Yes","3","Yes","Yes","Yes",""
"2021/08/20 11:42:23 PM GMT+6","18-25","3","Site recommendation","Direct online payment","Maybe","Maybe","Yes","5","Yes","Doesn't matter","Yes","The food during travel should be good"
"2021/08/20 11:43:43 PM GMT+6","18-25","1","Site recommendation","Paying to the guide","No","Yes","Yes","5","Yes","Yes","Yes",""
"2021/08/20 11:43:52 PM GMT+6","18-25","5","Own choice","Paying to the guide","No","Maybe","Yes","5","Yes","Doesn't matter","No",""
"2021/08/20 11:44:29 PM GMT+6","18-25","1","Both","Option 3","Yes","Yes","Yes","5","Yes","Yes","Yes",""
"2021/08/20 11:46:26 PM GMT+6","18-25","1","Both","Direct online payment","Yes","Yes","Yes","1","Yes","Doesn't matter","Yes",""
"2021/08/20 11:46:38 PM GMT+6","18-25","2","Both","Direct online payment","Maybe","No","Yes","5","Yes","Doesn't matter","",""
"2021/08/20 11:47:58 PM GMT+6","18-25","4","Both","Paying to the guide","Yes","Yes","Yes","5","Yes","Yes","Yes","suggestion nai"
"2021/08/20 11:48:34 PM GMT+6","18-25","3","Own choice","Paying to the guide","Maybe","Maybe","No","5","Yes","Doesn't matter","No","Nothing "
"2021/08/21 12:06:34 AM GMT+6","18-25","2","Both","Option 3","Yes","Maybe","Maybe","1","Yes","Yes","Yes",""
"2021/08/21 12:20:49 AM GMT+6","18-25","4","Both","Paying to the guide","Yes","Yes","Yes","5","Yes","Yes","Yes",""
"2021/08/21 12:33:57 AM GMT+6","18-25","3","Own choice","Direct online payment","Maybe","Maybe","Yes","","Yes","Doesn't matter","Yes",""
"2021/08/21 1:03:39 AM GMT+6","26-35","4","Site recommendation","Direct online payment","Maybe","No","Yes","4","No","Yes","Yes",""
"2021/08/21 1:06:47 AM GMT+6","18-25","2","Both","Direct online payment","No","No","Yes","4","No","Yes","Yes",""
